,City,Temperature,Humidity,Longitude,Latitude,Cloudiness,Country,Windspeed,Date
0,lugovoy,44.4,55,72.76,42.95,29,KZ,5.61,1603667993
1,yulara,66.2,30,130.99,-25.24,28,AU,20.8,1603668257
2,kapaa,82.99,74,-159.32,22.08,40,US,9.17,1603668207
3,villa carlos paz,64.99,62,-64.5,-31.42,65,AR,15.26,1603668259
4,klaksvik,42.8,87,-6.59,62.23,26,FO,6.93,1603668260
5,sechura,70.11,67,-80.82,-5.56,70,PE,16.11,1603668260
6,gebze,64.4,88,29.43,40.8,0,TR,3.36,1603668260
7,busselton,66.99,54,115.33,-33.65,0,AU,5.48,1603668261
8,port augusta,55.4,43,137.77,-32.5,90,AU,9.17,1603668261
9,yarmouth,48.0,75,-70.23,41.71,1,US,5.82,1603668262
10,maningrida,85.19,62,134.27,-12.07,72,AU,5.77,1603668262
11,katsuura,62.01,62,140.3,35.13,75,JP,6.93,1603668263
12,atuona,78.94,75,-139.03,-9.8,3,PF,20.56,1603668263
13,victoria,73.99,79,114.16,22.29,100,HK,15.82,1603668056
14,shamary,30.24,97,58.22,57.34,100,RU,3.44,1603668264
15,anadyr,23.0,92,177.48,64.75,90,RU,4.47,1603667992
16,taree,69.8,73,152.47,-31.9,75,AU,9.17,1603668264
17,lagoa,63.95,62,-27.98,39.05,63,PT,1.66,1603668174
18,baglan,41.22,67,68.71,36.13,0,AF,0.67,1603668265
19,pevek,25.65,98,170.31,69.7,100,RU,7.72,1603668050
20,wanaka,54.0,77,169.15,-44.7,100,NZ,5.01,1603668083
21,khabary,37.8,89,79.53,53.63,100,RU,16.33,1603668267
22,bluff,53.01,58,168.33,-46.6,71,NZ,5.99,1603668161
23,luwuk,81.0,68,122.79,-0.95,100,ID,3.76,1603668267
24,east london,66.38,70,27.91,-33.02,96,ZA,2.3,1603668268
25,punta arenas,46.4,75,-70.92,-53.15,75,CL,3.36,1603667998
26,hobart,57.99,54,147.33,-42.88,75,AU,11.41,1603668188
27,auki,86.23,65,160.7,-8.77,91,SB,2.37,1603667987
28,lipari,63.0,81,14.95,38.47,18,IT,3.0,1603668269
29,codrington,54.07,67,141.97,-38.27,1,AU,18.28,1603668270
30,mataura,53.01,60,168.86,-46.19,94,NZ,7.0,1603667992
31,albany,44.01,55,-73.97,42.6,0,US,4.45,1603668271
32,vaini,75.2,88,-175.2,-21.2,75,TO,12.75,1603667992
33,whitehorse,28.4,74,-135.05,60.72,90,CA,11.41,1603668185
34,port alfred,64.13,83,26.89,-33.59,94,ZA,1.61,1603667996
35,butaritari,81.27,71,172.79,3.07,57,KI,9.33,1603668158
36,yekaterinovka,38.75,89,44.35,52.05,2,RU,7.7,1603668273
37,ushuaia,53.6,46,-68.3,-54.8,20,AR,6.93,1603667993
38,chimbote,63.66,83,-78.58,-9.09,53,PE,9.08,1603668165
39,isangel,80.6,65,169.27,-19.55,75,VU,6.93,1603668176
40,mariestad,50.0,93,13.82,58.71,100,SE,4.7,1603668275
41,lompoc,64.4,68,-120.46,34.64,90,US,13.87,1603668275
42,rocha,67.82,89,-54.33,-34.48,100,UY,8.34,1603668275
43,cape town,63.0,84,18.42,-33.93,4,ZA,4.0,1603668117
44,pittsburg,72.0,21,-121.88,38.03,1,US,10.29,1603668195
45,sao filipe,82.8,62,-24.5,14.9,96,CV,15.14,1603668277
46,yellowknife,28.4,79,-114.35,62.46,75,CA,2.24,1603668277
47,ialibu,67.1,65,143.99,-6.28,99,PG,2.13,1603668277
48,svetlogorsk,44.55,94,29.73,52.63,68,BY,5.86,1603668278
49,tuktoyaktuk,19.4,92,-133.04,69.45,90,CA,18.34,1603668278
50,prainha,86.92,46,-53.48,-1.8,81,BR,4.94,1603668279
51,ancud,51.01,76,-73.82,-41.87,75,CL,13.87,1603668279
52,lorengau,84.4,73,147.27,-2.02,100,PG,5.23,1603668279
53,mpulungu,77.7,51,31.11,-8.76,11,ZM,4.59,1603668280
54,tasiilaq,32.0,97,-37.64,65.61,99,GL,12.75,1603668039
55,labuhan,79.38,83,112.21,-6.88,97,ID,8.66,1603668281
56,namibe,68.58,78,12.15,-15.2,46,AO,2.39,1603668042
57,salalah,75.2,60,54.09,17.02,0,OM,5.82,1603668282
58,nea kallikratia,60.01,87,23.07,40.32,20,GR,1.12,1603668282
59,hermanus,60.01,90,19.23,-34.42,88,ZA,1.99,1603667986
60,kahului,93.2,46,-156.47,20.89,40,US,14.99,1603668276
61,arraial do cabo,71.6,83,-42.03,-22.97,75,BR,10.49,1603668055
62,ouallam,84.72,13,2.09,14.32,1,NE,8.66,1603668284
63,chokurdakh,5.65,92,147.92,70.63,3,RU,9.86,1603668018
64,tiksi,4.55,90,128.87,71.69,100,RU,29.75,1603668285
65,pisco,66.99,72,-76.22,-13.7,0,PE,17.22,1603668286
66,acurenam,68.77,98,10.65,1.03,100,GQ,4.68,1603668286
67,tuatapere,53.01,58,167.68,-46.13,92,NZ,5.99,1603668027
68,thinadhoo,82.85,71,72.93,0.53,6,MV,7.94,1603668287
69,castro,63.21,91,-50.01,-24.79,0,BR,5.41,1603668056
70,znamenskoye,33.91,98,73.83,57.13,99,RU,4.97,1603668288
71,haines junction,29.84,90,-137.51,60.75,100,CA,3.11,1603668026
72,qaanaaq,11.17,79,-69.36,77.48,100,GL,10.07,1603668289
73,san rafael,66.47,30,-68.33,-34.62,0,AR,10.0,1603668289
74,hilo,87.8,55,-155.09,19.73,40,US,11.41,1603668289
75,dikson,19.15,98,80.55,73.51,100,RU,12.57,1603668290
76,corrente,79.66,73,-43.34,-3.74,99,BR,5.5,1603668290
77,san esteban,75.02,89,-85.75,15.2,100,HN,2.15,1603668291
78,port elizabeth,62.6,93,25.57,-33.92,75,ZA,9.17,1603668291
79,puerto ayora,68.0,85,-90.35,-0.74,70,EC,8.01,1603668291
80,marzuq,62.1,31,46.47,14.4,0,YE,0.74,1603668026
81,longyearbyen,30.2,74,15.64,78.22,75,SJ,10.29,1603668292
82,horsham,48.99,87,-0.33,51.06,20,GB,4.7,1603668261
83,san patricio,82.4,88,-97.52,28.02,1,US,17.22,1603668293
84,bredasdorp,60.8,93,20.04,-34.53,100,ZA,9.17,1603668003
85,thompson,24.8,62,-97.86,55.74,75,CA,6.93,1603668294
86,abu samrah,64.71,27,37.18,35.3,2,SY,4.94,1603668294
87,brae,50.0,81,-1.35,60.4,75,GB,18.34,1603668295
88,leningradskiy,24.51,90,178.42,69.38,68,RU,5.41,1603668016
89,jamestown,45.0,70,-79.24,42.1,90,US,9.17,1603668295
90,rikitea,74.71,80,-134.97,-23.12,100,PF,23.55,1603668151
91,darhan,23.5,89,105.92,49.49,88,MN,2.04,1603668296
92,norman wells,28.4,100,-126.83,65.28,75,CA,10.29,1603668297
93,kavieng,82.96,75,150.8,-2.57,100,PG,8.93,1603668297
94,kaitangata,52.0,66,169.85,-46.28,99,NZ,4.0,1603668297
95,ponta do sol,66.2,68,-17.1,32.67,20,PT,5.82,1603668298
96,sola,80.6,88,167.55,-13.88,90,VU,18.25,1603668103
97,port blair,77.76,85,92.75,11.67,76,IN,5.17,1603668299
98,talnakh,10.4,85,88.4,69.49,75,RU,13.42,1603668299
99,varna,60.8,93,27.92,43.22,75,BG,5.82,1603668240
100,saint-philippe,68.0,72,55.77,-21.36,0,RE,8.05,1603668300
101,barnstaple,48.99,87,-4.06,51.08,24,GB,13.0,1603668300
102,torbay,41.0,80,-52.73,47.67,75,CA,20.8,1603668301
103,bengkulu,74.93,87,102.27,-3.8,100,ID,4.99,1603668301
104,mar del plata,61.0,100,-57.56,-38.0,90,AR,3.62,1603668302
105,rupert,35.6,24,-113.68,42.62,20,US,8.05,1603668303
106,plettenberg bay,62.17,90,23.37,-34.05,100,ZA,14.0,1603668303
107,warrington,46.4,87,-2.58,53.39,0,GB,8.05,1603668304
108,avarua,78.8,69,-159.78,-21.21,76,CK,12.75,1603668158
109,san jose,71.6,43,-121.89,37.34,40,US,10.29,1603668305
110,maine-soroa,80.91,20,12.02,13.21,10,NE,8.25,1603668306
111,port-gentil,78.8,83,8.78,-0.72,75,GA,11.41,1603668307
112,dvinskoy,24.76,98,45.12,62.15,85,RU,4.34,1603668307
113,turkistan,42.12,57,68.0,43.0,57,KZ,5.5,1603668307
114,la asuncion,81.59,81,-63.86,11.03,0,VE,17.76,1603668308
115,grafton,45.0,78,-71.69,42.21,98,US,1.99,1603668219
116,qasigiannguit,12.2,61,-51.19,68.82,81,GL,3.36,1603668309
117,port lincoln,54.46,61,135.87,-34.73,47,AU,17.69,1603668309
118,huarmey,65.08,79,-78.15,-10.07,39,PE,8.7,1603668310
119,juegang,62.01,1,121.19,32.32,48,CN,4.54,1603668310
120,sorland,41.0,86,12.69,67.67,75,NO,10.29,1603668311
121,amga,8.22,92,131.96,60.9,7,RU,2.66,1603668166
122,tselinnoye,33.33,94,85.67,53.08,100,RU,20.33,1603668311
123,naze,73.4,64,129.48,28.37,75,JP,4.7,1603668312
124,bambous virieux,73.0,88,57.76,-20.34,75,MU,18.34,1603668312
125,bayan,36.61,82,127.4,46.08,3,CN,1.79,1603668313
126,monrovia,79.0,84,-10.8,6.3,1,LR,6.76,1603668313
127,saint-augustin,32.29,86,-58.65,51.23,2,CA,12.37,1603668314
128,umm kaddadah,80.02,22,26.69,13.6,0,SD,12.8,1603668314
129,chihuahua,87.8,10,-106.0,28.5,5,MX,12.75,1603668314
130,new norfolk,57.99,50,147.06,-42.78,2,AU,1.01,1603668161
131,calvia,68.0,77,2.51,39.57,36,ES,12.75,1603668315
132,coquimbo,55.4,82,-71.34,-29.95,20,CL,10.29,1603668316
133,naryan-mar,15.21,96,53.09,67.67,8,RU,9.69,1603668021
134,narsaq,42.8,41,-46.05,60.92,100,GL,28.86,1603668317
135,funadhoo,80.53,78,73.27,6.15,99,MV,6.2,1603668317
136,giaveno,54.0,93,7.35,45.05,90,IT,1.25,1603668318
137,hofn,44.1,73,-15.21,64.25,100,IS,13.29,1603668318
138,rapar,78.64,55,70.63,23.57,0,IN,4.65,1603668142
139,mount gambier,55.4,58,140.77,-37.83,2,AU,23.04,1603668319
140,watertown,48.0,65,-71.18,42.37,90,US,9.17,1603668031
141,umm lajj,78.8,46,37.27,25.02,0,SA,1.3,1603668320
142,polyarnyy,21.2,92,33.45,69.2,0,RU,4.47,1603668320
143,pandan,80.37,84,124.17,14.05,100,PH,20.4,1603668321
144,tulu bolo,52.25,50,38.22,8.67,0,ET,4.32,1603668321
145,krasnoselkup,3.52,93,82.47,65.7,0,RU,9.95,1603668322
146,payo,71.89,96,103.64,-3.75,100,ID,2.1,1603668322
147,bonavista,39.99,79,-53.11,48.65,34,CA,15.99,1603668323
148,dakoro,82.72,15,6.76,14.51,48,NE,9.6,1603668323
149,kankan,73.36,48,-9.31,10.39,0,GN,1.19,1603668324
150,luderitz,65.28,54,15.16,-26.65,75,NA,22.7,1603668324
151,kodiak,48.2,87,-152.41,57.79,90,US,10.29,1603668139
152,sao gabriel da cachoeira,76.55,94,-67.09,-0.13,100,BR,2.17,1603668325
